,postcode,X-koordinaatti metrein�,Y-koordinaatti metrein�,Postinumeroalueen pinta-ala,"Asukkaat yhteens�, 2017 (HE)"
248,04770,402441,6737678,34340248,206
249,04820,411147,6730847,27211154,304
250,04840,416756,6732498,34732675,236
251,04920,411824,6734731,24258042,345
252,04940,415124,6738205,19899941,299
253,05100,369232,6708670,40546257,2272
254,05200,375738,6712802,63350031,6852
255,05250,373802,6709024,8121138,171
256,05400,388707,6714994,32172195,6580
257,05430,391437,6711875,17700415,1027
258,05440,384125,6719865,4026928,658
259,05450,384973,6712123,38978219,1073
260,05460,383281,6721406,2680016,3288
261,05470,387098,6719047,14712822,327
262,05510,392282,6719468,20547955,427
263,05620,378894,6716407,28696229,1309
264,05720,371005,6720672,75446137,564
265,05800,383391,6728192,49800091,9669
266,05810,384834,6722407,4970612,5822
267,05820,387013,6725999,48042497,5124
268,05830,381655,6721997,4698772,7097
269,05840,380033,6719585,24883543,3723
270,05850,381115,6721271,112332,0
271,05860,380670,6723419,1533167,1387
272,05880,380611,6726412,6066503,3395
273,05900,381856,6723894,1915999,3916
274,05950,392553,6726024,51179919,382
275,06100,425834,6696105,15752089,18569
276,06150,428414,6695846,8931437,5827
277,06200,432551,6689974,166036534,2610
278,06400,423951,6692415,7146238,7408
279,06450,422939,6693909,4764472,2036
280,06500,422686,6700427,73536191,2114
281,06530,425038,6704128,19706813,803
282,06650,424722,6692583,1413808,1446
283,06750,421204,6690785,13524358,1800
284,06830,415836,6690762,35670263,1091
285,06850,417571,6686687,14639721,20
286,06880,416394,6683048,24416848,330
287,06950,423451,6681184,36772859,373
288,07110,417148,6696918,36685001,1557
289,07130,412434,6695092,27053435,654
290,07150,411986,6701512,45165305,1022
291,07170,410190,6706504,44447548,2481
292,07190,406801,6710393,52796356,1441
293,07220,418005,6705529,23983354,300
294,07230,417032,6709566,38808070,1588
295,07280,432875,6705223,72875960,915
296,07310,433281,6697900,16868732,422
297,07320,439795,6697409,26274114,443
298,07350,438069,6685035,4031562,74
299,07360,439295,6680426,6301849,37
300,07370,438442,6675503,15410233,135
301,07390,435553,6675693,9682078,126
302,07410,426290,6690448,5306627,306
303,07450,435321,6685484,12996759,418
304,07500,423983,6712511,19721977,1154
305,07510,420651,6710415,27645847,684
306,07530,421230,6716356,36357560,286
307,07550,417855,6721280,19930636,296
308,07560,420970,6724824,84634656,1351
309,07565,428171,6726224,37583166,248
310,07580,426820,6713191,9041129,77
311,07590,428824,6709518,34071648,631
312,07600,437292,6723951,159486724,1728
313,07680,429845,6715750,57038931,529
314,07690,430956,6721164,28851681,131
315,07700,440714,6709540,40960505,1205
316,07720,441813,6713137,20643142,81
317,07740,439624,6703736,62041276,414
318,07750,445960,6692083,70843165,528
319,07780,443232,6686163,30131552,166
320,07800,455962,6721410,29536990,881
321,07810,451904,6721433,42359764,281
322,07820,446003,6727148,61592766,491
323,07830,459028,6727012,43231383,275
324,07840,461835,6721344,34902230,210
325,07850,460164,6716022,43855906,303
326,07870,456428,6712656,50945839,441
327,07880,447630,6713385,91938364,1022
328,07890,445006,6721281,35568682,198
329,07900,453675,6701005,136796419,4131
330,07910,456118,6688734,15990474,1069
331,07920,457409,6700774,1690604,1411
332,07930,447802,6702663,39434091,652
333,07940,459581,6703281,11480723,969
334,07945,454806,6707340,39192139,471
335,07955,464146,6704752,72765443,1177
336,07960,468452,6706445,19786700,115
337,07970,468050,6710968,37225374,561
338,07980,469412,6715640,61997424,277
339,07990,469487,6721030,55465922,295
340,08100,328699,6685563,64420323,7884
341,08150,338527,6681609,8203062,5351
342,08200,335340,6680810,3904856,3771
343,08350,336359,6688121,20224584,2353
344,08360,336736,6690918,454968,0
345,08450,333478,6684740,18915696,295
346,08480,330926,6689332,16699048,258
347,08500,341928,6688494,92224567,6482
348,08680,346042,6686841,25356886,1799
349,08700,334222,6675714,62950530,7430
350,08800,327518,6678405,78642781,1600
351,09120,317948,6683503,114279012,1227
352,09220,324697,6692450,86075354,1670
353,09430,333305,6696805,67498367,1665
354,09520,336123,6693385,16120058,111
355,09630,340606,6698102,40896991,479
356,09810,328439,6701110,65507678,988
357,09930,324111,6707321,60285562,307
358,10120,334674,6666614,51719371,612
359,10140,338592,6667962,18712158,299
360,10160,343302,6663254,63578869,889
361,10210,332494,6660108,72304103,2741
362,10230,328053,6664347,39537407,384
363,10250,322860,6657430,29496775,128
364,10270,326582,6651375,42867822,136
365,10300,316437,6665958,166632317,7310
366,10320,313474,6662453,3589943,1319
367,10330,311970,6665923,12010283,613
368,10350,322318,6668230,1753237,11
369,10360,324055,6673099,93056415,1287
370,10380,322951,6662253,19536059,109
371,10410,309861,6666704,9260389,356
372,10420,302398,6669746,99573362,1757
373,10440,306045,6670474,10775861,330
374,10470,309251,6671689,26405658,548
375,10480,309997,6675862,28035161,122
376,10520,290624,6664764,194692870,1713
377,10570,275404,6655053,123357540,466
378,10600,308711,6653973,272125658,4885
379,10620,299403,6657529,26766501,1872
380,10640,305140,6655789,5479316,932
381,10650,302841,6654161,3255644,2691
382,10660,297040,6653039,23461787,851
383,10680,292488,6650114,21853116,206
384,10710,316552,6655469,54044316,361
385,10820,288401,6646556,32189888,548
386,10900,282777,6641612,79454326,4054
387,10940,272458,6639874,2842308,2030
388,10960,275763,6640090,6390308,1791
389,11100,378118,6735179,3021236,6610
390,11120,379291,6739519,31553956,6972
391,11130,381100,6733173,35924501,9600
392,11310,380107,6738361,4068516,760
393,11710,373106,6729393,97723348,3092
394,11910,374661,6737926,21846741,2445
395,12100,393168,6740350,104559492,2634
396,12130,394827,6745663,49310866,311
397,12170,393511,6753468,48790961,210
398,12210,387364,6740264,16910106,234
399,12240,388915,6734541,84280229,1658
400,12310,377354,6744135,22653866,1824
401,12350,383199,6744952,43147617,434
402,12380,375844,6749201,33475382,526
403,12400,369524,6745276,85359989,4618
404,12450,363899,6741110,42344869,275
405,12520,371949,6736091,18684278,478
406,12540,367803,6735798,45803213,1580
407,12600,361437,6722803,123898101,1827
408,12630,363301,6729487,23956410,286
409,12640,364135,6733308,13279403,309
410,12700,357698,6734232,82123081,2305
411,12750,347390,6728018,175492208,522
412,12820,342381,6736299,25599750,52
413,12920,351274,6738440,82076177,360
414,12950,342979,6741869,60403955,164
415,13100,362728,6764096,6101556,11154
416,13110,364425,6763368,3751117,190
417,13130,359872,6766206,9119177,6068
418,13200,363628,6765337,465679,1475
419,13210,368689,6768819,30029748,8116
420,13220,362584,6767663,4587054,1779
421,13250,365491,6763711,1404691,982
422,13270,370373,6766607,40055838,1681
423,13300,366930,6761696,6593359,2822
424,13330,371056,6762371,33438322,817
425,13430,364166,6759564,27399137,1180
426,13500,353917,6762805,130195340,11783
427,13530,360089,6764334,181248,1
428,13600,361111,6767410,4800387,3727
429,13700,356443,6768961,10993947,410
430,13720,354504,6774642,69731820,4518
431,13800,357281,6784834,45189615,1343
432,13880,361680,6776036,39120533,1224
433,13900,364271,6771418,32492215,890
434,14140,385613,6750289,32139582,205
435,14200,379495,6757605,239666625,8728
436,14240,365615,6752903,80230443,873
437,14300,350578,6750354,334992603,2251
438,14430,343417,6759821,49047499,66
439,14450,339675,6764670,74144488,132
440,14500,340711,6773383,244803826,3278
441,14530,350846,6772173,23557413,228
442,14610,358182,6779352,21272158,402
443,14620,356529,6782228,18196930,156
444,14680,361836,6788353,81368665,585
445,14690,368227,6794359,58694685,174
446,14700,371900,6784188,195337849,1911
447,14770,373219,6773532,78294256,942
448,14810,385546,6777446,23622951,304
449,14820,381306,6773248,65340947,817
450,14840,381290,6780867,25932798,226
451,14870,381062,6786762,42527884,222
452,14930,377257,6795102,45047481,104
453,14960,375670,6799132,25781369,74
454,14980,382329,6799898,23255673,44
455,15100,427460,6760715,2553613,6357
456,15110,426613,6761822,1475584,5020
457,15140,426856,6763181,4857325,15326
458,15150,430849,6758508,11037961,4264
459,15160,432851,6759898,10615924,2486
460,15170,430506,6761671,3231052,3834
461,15200,429108,6762564,2172676,3487
462,15210,428014,6763738,2893728,4376
463,15230,431996,6767746,33958888,2783
464,15240,427192,6765919,9711840,7880
465,15270,426354,6768491,18334556,1817
466,15300,433059,6762402,8265896,4002
467,15320,435401,6762752,16735492,2995
468,15340,436585,6765065,20171349,2779
469,15460,438187,6770527,51749279,573
470,15500,428027,6759284,2032189,5014
471,15520,429152,6759747,2696704,2199
472,15540,436632,6755640,67077926,4471
473,15550,444418,6756251,4511760,3603
474,15560,442915,6760652,83238621,4083
475,15580,445558,6768804,37105014,226
476,15610,427557,6758010,7908532,5329
477,15680,428374,6755353,16491180,3260
478,15700,423592,6753893,48493216,6855
479,15800,424815,6760795,3565936,3422
480,15810,423181,6760447,1402479,1379
481,15820,421160,6757752,21373135,1089
482,15830,423481,6761452,1576653,3797
483,15840,422253,6761601,1462513,2040
484,15850,422422,6762916,2536606,625
485,15860,420540,6762448,9262280,3492
486,15870,419446,6762331,3927943,4134
487,15880,412819,6763183,112150490,4735
488,15900,425080,6762593,3341412,1693
489,15950,423910,6764565,8721082,3860
490,15980,421894,6765395,3399089,0
491,16100,449858,6757606,80257994,1366
492,16160,449879,6764940,26355680,100
493,16200,446816,6736036,74003570,659
494,16230,453028,6732029,71258391,329
495,16260,452873,6740797,44519545,171
496,16270,444747,6739662,20119503,135
497,16280,446526,6748406,79263451,589
498,16300,428951,6741259,244743169,10563
499,16310,430099,6747815,33315896,648
500,16320,428782,6751335,28820092,1142
501,16330,437132,6748955,39143121,348
502,16350,440036,6738563,42505395,321
503,16390,433822,6733248,44445237,282
504,16450,424256,6731436,51334432,447
505,16500,414997,6752864,61080944,889
506,16510,417481,6745578,57555039,434
507,16540,412202,6741837,39833246,289
508,16600,407208,6745990,102790147,2899
509,16610,404158,6756019,67638966,706
510,16630,410474,6757697,37162662,334
511,16670,400182,6747302,69960323,608
512,16710,413872,6769604,35117660,977
513,16730,419287,6771249,68873824,992
514,16790,411395,6774330,31017054,107
515,16800,400557,6765232,189464658,2042
516,16900,391376,6778215,492174254,4737
517,16960,394691,6783292,25415961,158
518,16970,399653,6787962,88012331,78
519,17110,428734,6771300,19442905,1150
520,17120,425526,6774931,63087028,568
521,17130,427981,6779284,54984009,811
522,17150,436814,6782224,102308365,363
523,17200,422450,6784371,125414221,5270
524,17220,432151,6788628,72874296,167
525,17240,430421,6796921,145150265,391
526,17320,419521,6792872,103329301,321
527,17410,411132,6778903,63781984,250
528,17430,411589,6783742,43696851,279
529,17440,412842,6787477,6077912,55
530,17450,408942,6789499,59789176,209
531,17470,411398,6795375,52921443,283
532,17500,410940,6809745,242767182,1795
533,17510,409153,6799198,78766625,255
534,17530,400010,6808753,71963831,224
535,17610,396192,6797866,120737164,258
536,17630,392778,6804172,69974506,111
537,17710,397322,6813536,54527082,64
538,17740,388949,6812444,45132448,50
539,17780,401720,6818343,36938290,71
540,17800,402776,6828889,474720366,1768
541,17840,408059,6841286,33016258,76
542,17850,416088,6840658,83505609,66
543,17870,415698,6828160,52858381,60
544,17930,388153,6832170,86998620,78
545,17950,396636,6838605,44733339,28
546,17970,400619,6842537,35598288,34
547,18100,449219,6785818,65030158,6900
548,18120,450848,6786429,5121995,905
549,18130,449713,6784450,4824798,1814
550,18150,448520,6782450,11611976,2335
551,18200,448618,6788367,5542147,2021
552,18300,455810,6791649,374163518,2737
553,18600,445102,6780919,65118976,810
554,19110,442301,6775009,47315130,642
555,19120,447077,6775738,12044027,136
556,19160,454818,6772655,132810318,485
557,19210,449294,6799462,113981075,482
558,19230,449170,6808477,105044269,115
559,19250,455691,6804441,30553531,49
560,19260,461645,6805521,59806263,117
561,19310,423547,6803882,42573822,80
562,19320,426978,6807873,54318004,95
563,19370,438144,6808106,139298968,396
564,19410,468039,6808520,86590843,441
565,19420,464834,6818492,63478650,152
566,19430,471936,6819620,108787353,747
567,19460,468246,6829855,76555370,104
568,19470,476168,6823360,47424023,158
