,Talotyyppi,m2,Vh,em2,Rv,Krs,Hissi,Kunto,Tontti,postcode,X,Y,PA,Asukkaat,vaestontiheys
111,kt,8600,598000,6953,1974,6/9,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
112,kt,17400,1250000,7184,1920,6/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
113,kt,13700,960000,7007,1927,5/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
114,kt,9680,790000,8161,1926,2/5,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
115,kt,11750,710000,6043,1988,4/8,on,hyvä,vuokra,100,385114,6672391,2353278,18284,0.0077695877835087905
116,kt,17300,1290000,7457,1924,3/5,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
117,kt,9050,590000,6519,1988,7/7,on,hyvä,vuokra,100,385114,6672391,2353278,18284,0.0077695877835087905
118,kt,11700,597000,5103,1928,5/7,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
119,kt,13000,950000,7308,1911,2/5,ei,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
120,kt,28000,1400000,5000,1926,3/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
121,kt,12500,1055000,8440,1910,2/6,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
122,kt,10500,665000,6333,1929,4/5,on,tyyd.,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
123,kt,18700,1270000,6791,1927,3/6,ei,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
124,kt,14600,1300989,8911,1913,3/6,on,hyvä,oma,100,385114,6672391,2353278,18284,0.0077695877835087905
125,kt,2050,232000,11317,1959,5/7,on,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
126,kt,3000,248000,8267,1961,4/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
127,kt,5700,406000,7123,2000,1/8,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
128,kt,3200,347000,10844,1905,1/2,ei,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
129,kt,2350,210000,8936,1908,2/3,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
130,kt,2700,282000,10444,1903,3/3,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
131,kt,2400,299000,12458,2017,4/7,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
132,kt,2350,339000,14426,1890,2/6,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
133,kt,2300,203000,8826,1927,2/5,on,tyyd.,oma,120,385614,6671378,414010,7108,0.017168667423492188
134,kt,6300,375000,5952,1909,1/5,ei,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
135,kt,6300,518000,8222,1937,3/5,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
136,kt,5350,500000,9346,2003,5/7,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
137,kt,4200,341000,8119,1928,5/6,on,hyvä,oma,120,385614,6671378,414010,7108,0.017168667423492188
