"Postinumeroalue";"X-koordinaatti metrein�";"Y-koordinaatti metrein�";"Postinumeroalueen pinta-ala";"Asukkaat yhteens�, 2017 (HE)"
"02600 Etel�-Lepp�vaara   (Espoo )";378937;6677010;4183811;11052
"02610 Kilo   (Espoo )";376673;6678055;2926723;6354
"02620 Karakallio   (Espoo )";376746;6679587;4031134;8428
"02630 Nihtisilta   (Espoo )";376183;6676814;2712530;3435
"02650 Pohjois-Lepp�vaara   (Espoo )";379072;6678436;2585315;10595
"02660 Lintuvaara   (Espoo )";378671;6679883;3357279;6156
"02680 Uusm�ki   (Espoo )";379778;6680201;1321122;2719
"02700 Kauniainen   (Kauniainen )";373460;6677519;5514312;9480
"02710 Viherlaakso   (Espoo )";374871;6678998;2651282;6019
"02720 L�hderanta   (Espoo )";374833;6680409;1655678;2998
"02730 Jupperi   (Espoo )";376171;6681468;3380257;4581
"02740 Bemb�le-Pakankyl�   (Espoo )";370034;6683154;29833236;3180
"02750 Sep�nkyl�-Kuurinniitty   (Espoo )";373794;6675689;5792011;6283
"02760 Tuomarila-Suvela   (Espoo )";371464;6675883;4099624;14443
"02770 Espoon Keskus   (Espoo )";369534;6676424;8422398;10436
"02780 Kauklahti   (Espoo )";365686;6675944;27860327;10716
"02810 Gumb�le-Karhusuo   (Espoo )";368388;6678668;4373806;1792
"02820 Nupuri-Nuuksio   (Espoo )";364887;6684609;63250909;1457
"02860 Siikaj�rvi   (Espoo )";362711;6685121;15725519;654
"02880 Veikkola   (Kirkkonummi )";357922;6684400;40142208;5833
"02920 Niipperi   (Espoo )";374922;6684335;12923102;5347
"02940 Lippaj�rvi-J�rvenper�   (Espoo )";372584;6682909;22712608;10335
"02970 Kalaj�rvi   (Espoo )";374018;6689419;27631400;3823
"02980 Lakisto   (Espoo )";368858;6690939;31057524;318
"03100 Nummela   (Vihti )";350466;6692040;78159695;15394
"03150 Huhmari   (Vihti )";353557;6686917;23861486;766
"03220 Tervalampi   (Vihti )";358423;6690660;28318550;579
"03250 Ojakkala   (Vihti )";357056;6695869;35873701;1930
"03300 Otalampi   (Vihti )";363181;6696861;77100011;2377
"03320 Selki   (Vihti )";365028;6702082;20068682;349
"03400 Vihti Kirkonkyl�   (Vihti )";354038;6703790;166221787;6474
"03430 Jokikunta   (Vihti )";345126;6702220;45564394;519
"03600 Karkkila Keskus   (Karkkila )";343101;6719178;168480438;6524
"03620 Polari   (Karkkila )";352739;6715426;59954330;2127
"03710 Uusitalo   (Karkkila )";356338;6712608;49229428;186
"03790 Vihtij�rvi   (Vihti )";363975;6712748;67218338;514
"03810 Ikkala   (Lohja )";341156;6708625;46090266;595
"03850 Pusula   (Lohja )";334478;6713811;197571333;1641
